Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0006349	regulation of gene expression by genetic imprinting	 	1.507E-3	1.000E0	4.415E-2	4.323E-1	9	21	KDM1B,BRCA1,CTCFL,DNMT3A,DNMT3B,PCGF6,IGF2,KCNQ1,PRMT7
GO: Biological Process	GO:0051168	nuclear export	 	1.510E-3	1.000E0	4.415E-2	4.323E-1	45	201	ADAR,RAE1,CAMK1,BARD1,MCM3AP,CDK5,CSE1L,NUP93,NUP58,THOC1,GTSE1,SLU7,THOC3,NUP50,CPSF4,NUP42,CHP1,HHEX,AGFG1,MDM2,DDX25,NCBP1,CPSF2,NUP88,NUP37,CCHCR1,POLR2D,ALKBH5,RAN,NUP85,LSG1,STRADB,SEC13,THOC7,NUP35,IWS1,RBM22,NUP133,RBM26,RRS1,EIF4ENIF1,YWHAE,FIP1L1,SLBP,AAAS
GO: Biological Process	GO:0001829	trophectodermal cell differentiation	 	1.565E-3	1.000E0	4.550E-2	4.455E-1	10	25	EOMES,CUL3,BYSL,CDH1,CDX2,ESRRB,RBM46,POU5F1,CNOT1,TFAP2C
GO: Biological Process	GO:0007130	synaptonemal complex assembly	 	1.565E-3	1.000E0	4.550E-2	4.455E-1	10	25	TRIP13,SYCP3,SYCP2,STAG3,EHMT2,SYCE1,RAD21L1,SYCE3,TEX15,TEX12
GO: Biological Process	GO:0008033	tRNA processing	 	1.602E-3	1.000E0	4.645E-2	4.548E-1	32	131	AARS1,TRMT5,ALKBH1,USP14,THUMPD3,CSTF2,DDX1,TSEN15,TRPT1,TRNT1,POP5,RTCB,TRMT6,RTRAF,CDK5RAP1,POLR3K,TRMT10B,RPP40,CPSF4,POP1,GRSF1,RPUSD4,LSM6,CTU2,FAM98B,TRMT13,PUS7,ELP3,NAT10,ELP2,ELP5,NSUN6
GO: Biological Process	GO:0097711	ciliary basal body-plasma membrane docking	 	1.672E-3	1.000E0	4.835E-2	4.734E-1	25	95	OFD1,SSNA1,RAB11A,CDK1,CEP57,DCTN1,CEP78,RAB3IP,SDCCAG8,CEP89,KIF24,HAUS8,HSP90AA1,ODF2,PCM1,PLK1,NDE1,TCTN1,HAUS2,HAUS7,CEP152,CENPJ,NEDD1,RPGRIP1L,YWHAE
GO: Biological Process	GO:0050773	regulation of dendrite development	 	1.691E-3	1.000E0	4.874E-2	4.772E-1	43	191	ALK,CAMK1,CAPRIN2,NUMB,BMP5,SDK1,NEURL1,CDC20,CDK5,CHRNA3,SIPA1L1,CUX1,DCC,KIAA0319,DNM1L,SH3GLB1,EIF4G2,EPHA4,MTOR,DISC1,RTN4IP1,CIT,IL1RAPL1,NRG1,MYO5B,EEF2K,MAPK6,DAB2IP,RELN,PSEN1,PTEN,RAP2A,ITSN1,SHANK2,FSTL4,CYFIP1,VAMP7,COBL,CUX2,TIAM1,BHLHB9,VLDLR,YWHAH
GO: Biological Process	GO:0006323	DNA packaging	 	1.721E-3	1.000E0	4.930E-2	4.827E-1	48	219	CENPP,RNF8,CCNB1,AIFM1,CDK1,CENPA,PIWIL1,ASF1A,SYCP3,CENPL,CHAF1A,SMC4,NUSAP1,CENPW,SIRT6,SMC2,HELLS,OIP5,HMGB2,MCM2,NAP1L1,NAP1L4,NASP,MIS18A,CENPM,CENPO,NCAPG2,MCPH1,RBBP4,RBBP7,CENPU,CENPQ,HJURP,CENPT,ASF1B,SMARCA2,CDCA5,WAPL,CENPN,SRPK1,CENPK,NCAPG,NCAPH,PADI4,SMYD3,CENPH,KNL1,M1AP
GO: Biological Process	GO:0006378	mRNA polyadenylation	 	1.725E-3	1.000E0	4.930E-2	4.827E-1	17	56	LEO1,CSTF2,EXOSC3,NUDT21,GRSF1,EXOSC8,NCBP1,CPSF2,PNPT1,EXOSC9,MTPAP,ZC3H14,PABPC1L,SNRPA,EXOSC7,RNF20,FIP1L1
GO: Biological Process	GO:1903504	regulation of mitotic spindle checkpoint	 	1.735E-3	1.000E0	4.930E-2	4.827E-1	7	14	CCNB1,ANAPC15,DYNC1LI1,NDC80,LCMT1,MAD2L1,GEN1
GO: Biological Process	GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint	 	1.735E-3	1.000E0	4.930E-2	4.827E-1	7	14	CCNB1,ANAPC15,DYNC1LI1,NDC80,LCMT1,MAD2L1,GEN1
GO: Biological Process	GO:0007100	mitotic centrosome separation	 	1.735E-3	1.000E0	4.930E-2	4.827E-1	7	14	CHEK1,KIF11,KIF25,NDE1,AURKA,NSFL1C,CEP85
GO: Cellular Component	GO:0000793	condensed chromosome	 	7.864E-25	1.006E-21	1.006E-21	7.776E-21	98	236	SPC25,ADD3,MAD1L1,FKBP6,BIRC5,SPC24,CCNB1IP1,SYCP2L,BRCA1,BRCA2,BUB1,BUB1B,CCNB1,SMC3,AURKB,CDX2,CENPA,CENPE,CENPF,CHEK1,BOD1,SYCP3,NSL1,RNF212B,KNTC1,NUF2,SMC4,RAD50,LRPPRC,DYNC1LI1,CENPW,ESRRB,MEI4,SYCP2,NDC80,SMC2,SPAG5,NIFK,DCTN6,STAG3,SMC1B,KIF2C,HORMAD2,ZWINT,HMGB2,SYCE1,INCENP,RAD21L1,SGO2,LIG4,MAD2L1,SGO1,MKI67,MRE11,SYCE3,CENPM,NUP37,PLK1,POLB,CENPO,RAD9B,NDE1,ERCC6L,NCAPG2,SPDL1,RAD1,PINX1,RAD51,ZWILCH,CENPU,RIF1,NUP85,NANOG,HJURP,DSN1,CENPT,C14orf39,KIFAP3,NUP133,CDCA5,WAPL,CENPN,CENPK,AURKA,AURKC,NCAPG,RRS1,RNF212,TEX12,NCAPH,SKA1,CENPH,FAM9B,FAM9C,MEIKIN,GPATCH11,KNL1,SKA3
GO: Cellular Component	GO:0000775	chromosome, centromeric region	 	1.693E-23	2.165E-20	1.083E-20	8.370E-20	87	202	KIF18A,SPC25,CENPP,MAD1L1,BIRC5,SPC24,SYCP2L,BUB1,BUB1B,CCNB1,SMC3,AURKB,CENPA,CENPE,CENPF,BOD1,SYCP3,NSL1,NGDN,KNTC1,CENPL,NUF2,DCTN1,DNMT1,DNMT3A,DNMT3B,ESCO2,TRAPPC12,DYNC1LI1,CENPW,NDC80,SPAG5,DCTN6,STAG3,SMC1B,SUGT1,ZNF330,KIF2C,ZWINT,WDHD1,HELLS,OIP5,INCENP,SGO2,MAD2L1,SGO1,MKI67,MIS18A,CENPM,NUP37,PKHD1,DSCC1,PLK1,CENPO,PSEN1,NDE1,ERCC6L,SPDL1,PINX1,ZWILCH,CENPU,CDCA8,SUV39H2,CENPQ,NUP85,HJURP,CLIP1,DSN1,SEC13,CENPT,KDM4D,NUP133,CDCA5,WAPL,CENPN,CENPK,RCC2,AURKA,AURKC,NCAPG,SKA1,TTK,CENPH,MEIKIN,GPATCH11,KNL1,SKA3
GO: Cellular Component	GO:0098687	chromosomal region	 	3.427E-23	4.383E-20	1.461E-20	1.130E-19	126	362	KIF18A,SPC25,CDC45,CENPP,PARP1,MAD1L1,BIRC5,SPC24,SYCP2L,BRCA2,BUB1,BUB1B,RNF8,CCNB1,SMC3,CDK1,AURKB,CENPA,CENPE,CENPF,CHEK1,BOD1,SYCP3,NSL1,NGDN,KNTC1,CENPL,NUF2,DCTN1,DCLRE1A,DNMT1,DNMT3A,DNMT3B,THOC1,RAD50,ESCO2,TRAPPC12,DYNC1LI1,CENPW,NDC80,SIRT6,THOC3,SPAG5,DCTN6,PTGES3,STAG3,SMC1B,SUGT1,ZNF330,KIF2C,ZWINT,WDHD1,HELLS,OIP5,INCENP,SGO2,LIG4,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM7,SGO1,MKI67,MRE11,MSH2,MIS18A,ORC1,ORC4,ORC5,PCNA,CENPM,NUP37,TAF7L,PKHD1,TERB1,DSCC1,PLK1,CENPO,PSEN1,NDE1,ERCC6L,SPDL1,PINX1,RAD51,ZWILCH,CENPU,PIWIL2,CDCA8,SUV39H2,CENPQ,RIF1,NAT10,RPA2,NUP85,HJURP,CLIP1,DSN1,TERB2,SEC13,THOC7,CENPT,NLRP2,KDM4D,NUP133,CDCA5,WAPL,CENPN,CENPK,RCC2,AURKA,AURKC,NCAPG,DCLRE1C,SKA1,ORC3,TTK,DCLRE1B,NABP1,CENPH,ACD,MEIKIN,GPATCH11,KNL1,SKA3
GO: Cellular Component	GO:0015630	microtubule cytoskeleton	 	1.303E-21	1.667E-18	4.168E-19	3.222E-18	322	1368	MKKS,KIF18A,NCKAP5,CDC45,STARD9,MAD1L1,KIF17,TSGA10IP,CUL3,SLAIN2,KIF6,LEO1,RAE1,OFD1,SLC25A5,CCDC146,CAMSAP3,BIRC5,SHTN1,SHROOM2,DNAH17,CAPRIN2,SSNA1,CCDC181,CATSPERG,DNAH11,SNX4,KIF1A,TTLL9,RAB11A,ADGRB2,BBS4,BNIP2,BRCA1,BRCA2,SYNJ1,SYNJ2,CEP95,BUB1B,BYSL,TAF1A,MAP7,PRC1,CCNB1,CCNF,USP2,SMC3,CCNB2,CDK1,CDC20,DNAAF1,CDK5,AURKB,CENPE,CENPF,CETN1,CHEK1,SNAP29,BOD1,KPNA7,SLC9A3R1,CLTA,CNP,KIF23,POC1A,CIR1,SPAG6,KIF20B,ESPL1,CEP57,KNTC1,KIAA0586,DLGAP5,FAM110A,DBH,DNAL1,DCTN1,CABYR,FBXO5,AK5,KIF19,MFN2,KIF14,DLG1,DNAH8,DYRK1A,DNM1L,E2F1,ECT2,WDPCP,KIF20A,LRPPRC,EYS,RMDN1,DYNC1LI1,TXNDC9,CKAP2,NUSAP1,ERCC2,BCAS2,TBC1D7,APC2,KATNB1,KATNAL1,REEP2,SPTBN5,HOOK1,CEP78,NDC80,ATP6V1D,TACC3,CAMSAP1,DCDC2,SLF1,ATG7,GTSE1,DTL,CCT2,CCDC77,SPAG5,FANK1,DYNC2LI1,DCTN6,MROH2B,RTRAF,RAB3IP,SSX2IP,CCT8,HSPB11,RAB11FIP4,DISC1,SDCCAG8,DRC1,FTCD,SAXO1,TUBGCP4,SLC9B1,PRPF19,DCLK2,KIF2C,NUDT21,TUBA1C,KATNA1,GSTM3,ZBTB49,GTF2F2,CEP89,CKAP2L,ZFYVE19,AKAP11,CHP1,CATSPERD,AKAP14,HMMR,KIF24,HAUS8,POC5,HSP90AA1,CCNB3,CFAP74,INCENP,BORCS5,CFAP221,KIFC3,KDF1,KIF11,KIF25,RMDN2,CCDC39,MAD2L1,MAK,MAP6,MCM2,MCM3,SPA17,SGO1,CCDC113,RNF38,RACGAP1,GEN1,MYH10,CCDC50,CCDC13,NEK1,GAS2L3,ODF2,PCM1,PCNA,CCDC63,CFAP251,LRGUK,AUNIP,PIK3C3,SNX10,ASPM,PKHD1,GPSM2,PLK1,CCHCR1,PMS2,POLB,PPP4C,PRKAR2A,PRKCQ,MAP2K1,PSEN1,NDE1,BCAS3,CCDC172,SPDL1,CEP120,PINX1,SPAG16,PPP2R3C,WDR62,RAD51,RAN,ATG16L1,MCPH1,ODF3L2,IFT57,DYNC2H1,KIF26B,DNAAF4,CENPU,DPF2,HAUS2,CDCA8,TBL1XR1,CEP55,CCDC88C,RMDN3,RIF1,IQCA1,CFAP94,TUBAL3,BORA,NUP85,MNS1,STRBP,TUBA3E,CLIP1,DSN1,FMN1,SCNN1A,CCDC15,TRIM36,BBOF1,HAUS7,VPS37A,AMBRA1,ATG14,DZIP1,STIL,SKP1,CCDC141,ZNF365,WDR47,KIFAP3,SLC8A1,CCDC88A,CCT5,TPX2,CEP152,DAAM1,REEP4,CFAP44,SPATA7,CLUAP1,CENPJ,SPAST,NEDD1,RCC2,STAU1,ABRAXAS2,AURKA,AURKC,NSFL1C,HYLS1,CFAP206,TADA2A,C4orf47,MTUS2,TBCA,KIF13B,RPGRIP1L,TCP1,TCP11,ALKBH2,DYNLT1,TEKT5,GSDMC,DNAH7,TIAM1,SKA1,TRAF5,CEP57L1,TSG101,TTK,EZR,VRK1,CEP85,DCLRE1B,XRCC2,YES1,YWHAE,SLC26A6,RAD18,DCDC2C,MDM1,EML6,KIF4A,KIF15,ACTL8,FAM83D,SHCBP1L,DNAH10,AAAS,IFT88,SASS6,CCDC120,SKA3
GO: Cellular Component	GO:0000794	condensed nuclear chromosome	 	1.891E-18	2.418E-15	4.836E-16	3.739E-15	54	109	ADD3,FKBP6,CCNB1IP1,SYCP2L,BRCA1,BRCA2,BUB1,BUB1B,CCNB1,SMC3,AURKB,CDX2,CENPA,CENPE,CHEK1,SYCP3,RNF212B,NUF2,RAD50,LRPPRC,MEI4,SYCP2,NDC80,NIFK,STAG3,SMC1B,HORMAD2,SYCE1,INCENP,RAD21L1,SGO2,SGO1,MRE11,SYCE3,PLK1,POLB,CENPO,RAD9B,RAD1,RAD51,DSN1,C14orf39,KIFAP3,WAPL,CENPK,AURKA,AURKC,RRS1,RNF212,TEX12,NCAPH,FAM9B,FAM9C,MEIKIN
GO: Cellular Component	GO:0000779	condensed chromosome, centromeric region	 	4.012E-16	5.131E-13	8.551E-14	6.611E-13	54	120	SPC25,MAD1L1,BIRC5,SPC24,SYCP2L,BUB1,BUB1B,CCNB1,AURKB,CENPA,CENPE,CENPF,BOD1,SYCP3,NSL1,KNTC1,NUF2,DYNC1LI1,CENPW,NDC80,SPAG5,DCTN6,KIF2C,ZWINT,INCENP,SGO2,MAD2L1,SGO1,CENPM,NUP37,PLK1,CENPO,NDE1,ERCC6L,SPDL1,PINX1,ZWILCH,CENPU,NUP85,HJURP,DSN1,CENPT,NUP133,CENPN,CENPK,AURKA,AURKC,NCAPG,SKA1,CENPH,MEIKIN,GPATCH11,KNL1,SKA3
GO: Cellular Component	GO:0005874	microtubule	 	4.970E-16	6.357E-13	9.081E-14	7.021E-13	167	636	MKKS,KIF18A,NCKAP5,STARD9,KIF17,CUL3,SLAIN2,KIF6,CAMSAP3,BIRC5,SHTN1,SHROOM2,DNAH17,CCDC181,CATSPERG,DNAH11,KIF1A,TTLL9,RAB11A,SYNJ1,SYNJ2,BYSL,MAP7,PRC1,CDK1,DNAAF1,CDK5,AURKB,CENPE,CENPF,BOD1,SLC9A3R1,CNP,KIF23,SPAG6,KIF20B,CEP57,KNTC1,DNAL1,DCTN1,CABYR,KIF19,KIF14,DLG1,DNAH8,DYRK1A,DNM1L,WDPCP,KIF20A,LRPPRC,RMDN1,DYNC1LI1,CKAP2,NUSAP1,APC2,KATNB1,KATNAL1,REEP2,SPTBN5,HOOK1,CAMSAP1,DCDC2,ATG7,GTSE1,CCT2,SPAG5,DYNC2LI1,MROH2B,CCT8,DISC1,DRC1,SAXO1,TUBGCP4,SLC9B1,DCLK2,KIF2C,TUBA1C,KATNA1,GSTM3,CATSPERD,AKAP14,KIF24,HAUS8,HSP90AA1,CFAP74,INCENP,CFAP221,KIFC3,KIF11,KIF25,RMDN2,CCDC39,MAK,MAP6,SPA17,RNF38,RACGAP1,CCDC50,GAS2L3,ODF2,CCDC63,CFAP251,PIK3C3,ASPM,PLK1,POLB,PRKAR2A,MAP2K1,NDE1,BCAS3,CCDC172,SPAG16,RAN,ATG16L1,ODF3L2,IFT57,DYNC2H1,KIF26B,HAUS2,RMDN3,IQCA1,CFAP94,TUBAL3,MNS1,TUBA3E,CLIP1,SCNN1A,HAUS7,AMBRA1,ATG14,WDR47,KIFAP3,SLC8A1,CCT5,TPX2,REEP4,CFAP44,SPATA7,CLUAP1,CENPJ,SPAST,RCC2,ABRAXAS2,AURKA,AURKC,CFAP206,MTUS2,TBCA,KIF13B,RPGRIP1L,TCP1,TCP11,DYNLT1,TEKT5,DNAH7,TIAM1,SKA1,CEP57L1,SLC26A6,DCDC2C,MDM1,EML6,KIF4A,KIF15,DNAH10,IFT88,SKA3
GO: Cellular Component	GO:0000776	kinetochore	 	1.500E-15	1.919E-12	2.399E-13	1.854E-12	58	138	KIF18A,SPC25,MAD1L1,BIRC5,SPC24,BUB1,BUB1B,CCNB1,AURKB,CENPA,CENPE,CENPF,BOD1,NSL1,KNTC1,NUF2,DCTN1,TRAPPC12,DYNC1LI1,CENPW,NDC80,SPAG5,DCTN6,SUGT1,KIF2C,ZWINT,INCENP,SGO2,MAD2L1,SGO1,CENPM,NUP37,PLK1,CENPO,PSEN1,NDE1,ERCC6L,SPDL1,PINX1,ZWILCH,CENPU,CENPQ,NUP85,HJURP,CLIP1,DSN1,SEC13,CENPT,NUP133,CENPN,CENPK,SKA1,TTK,CENPH,MEIKIN,GPATCH11,KNL1,SKA3
GO: Cellular Component	GO:0000777	condensed chromosome kinetochore	 	1.994E-14	2.551E-11	2.589E-12	2.002E-11	48	107	SPC25,MAD1L1,BIRC5,SPC24,BUB1,BUB1B,CCNB1,CENPA,CENPE,CENPF,BOD1,NSL1,KNTC1,NUF2,DYNC1LI1,CENPW,NDC80,SPAG5,DCTN6,KIF2C,ZWINT,INCENP,SGO2,MAD2L1,SGO1,CENPM,NUP37,PLK1,CENPO,NDE1,ERCC6L,SPDL1,PINX1,ZWILCH,CENPU,NUP85,HJURP,DSN1,CENPT,NUP133,CENPN,CENPK,SKA1,CENPH,MEIKIN,GPATCH11,KNL1,SKA3
GO: Cellular Component	GO:0005813	centrosome	 	2.024E-14	2.589E-11	2.589E-12	2.002E-11	142	532	MKKS,CDC45,MAD1L1,SLAIN2,LEO1,OFD1,CAMSAP3,CAPRIN2,SSNA1,RAB11A,ADGRB2,BBS4,BNIP2,BRCA1,BRCA2,CEP95,CCNB1,CCNF,USP2,CCNB2,CDK1,CDC20,AURKB,CENPF,CETN1,CHEK1,SNAP29,BOD1,KIF23,POC1A,CIR1,KIF20B,ESPL1,CEP57,KIAA0586,DLGAP5,DCTN1,E2F1,DYNC1LI1,TXNDC9,CKAP2,BCAS2,KATNB1,KATNAL1,HOOK1,CEP78,NDC80,ATP6V1D,TACC3,SLF1,DTL,CCDC77,SPAG5,DYNC2LI1,DCTN6,RTRAF,RAB3IP,SSX2IP,CCT8,HSPB11,RAB11FIP4,DISC1,SDCCAG8,TUBGCP4,KIF2C,NUDT21,KATNA1,CEP89,CKAP2L,ZFYVE19,HMMR,HAUS8,POC5,CCNB3,KIFC3,KIF25,MAK,MCM3,SGO1,CCDC113,GEN1,CCDC13,NEK1,ODF2,PCM1,PCNA,AUNIP,SNX10,ASPM,PKHD1,GPSM2,PLK1,PRKAR2A,PSEN1,NDE1,CEP120,PPP2R3C,WDR62,IFT57,DNAAF4,DPF2,HAUS2,CEP55,CCDC88C,CLIP1,CCDC15,HAUS7,VPS37A,DZIP1,STIL,SKP1,CCDC141,ZNF365,KIFAP3,CCDC88A,CCT5,CEP152,CLUAP1,CENPJ,SPAST,NEDD1,ABRAXAS2,AURKA,AURKC,NSFL1C,HYLS1,C4orf47,MTUS2,RPGRIP1L,TCP1,TRAF5,CEP57L1,CEP85,DCLRE1B,XRCC2,RAD18,MDM1,KIF15,ACTL8,AAAS,IFT88,SASS6
GO: Cellular Component	GO:0005814	centriole	 	4.458E-14	5.702E-11	5.184E-12	4.008E-11	151	583	MKKS,CDC45,STARD9,MAD1L1,SLAIN2,LEO1,OFD1,CCDC146,CAMSAP3,BIRC5,CAPRIN2,SSNA1,RAB11A,ADGRB2,BBS4,BNIP2,BRCA1,BRCA2,CEP95,CCNB1,CCNF,USP2,CCNB2,CDK1,CDC20,AURKB,CENPF,CETN1,CHEK1,SNAP29,BOD1,KIF23,POC1A,CIR1,KIF20B,ESPL1,CEP57,KIAA0586,DLGAP5,DCTN1,E2F1,DYNC1LI1,TXNDC9,CKAP2,BCAS2,KATNB1,KATNAL1,HOOK1,CEP78,NDC80,ATP6V1D,TACC3,SLF1,DTL,CCDC77,SPAG5,DYNC2LI1,DCTN6,RTRAF,RAB3IP,SSX2IP,CCT8,HSPB11,RAB11FIP4,DISC1,SDCCAG8,FTCD,SAXO1,TUBGCP4,KIF2C,NUDT21,KATNA1,CEP89,CKAP2L,ZFYVE19,HMMR,KIF24,HAUS8,POC5,CCNB3,KIFC3,KIF25,MAK,MCM3,SGO1,CCDC113,GEN1,CCDC13,NEK1,ODF2,PCM1,PCNA,AUNIP,SNX10,ASPM,PKHD1,GPSM2,PLK1,CCHCR1,PRKAR2A,PSEN1,NDE1,CEP120,PPP2R3C,WDR62,RAN,IFT57,DNAAF4,DPF2,HAUS2,CEP55,CCDC88C,CLIP1,CCDC15,HAUS7,VPS37A,DZIP1,STIL,SKP1,CCDC141,ZNF365,KIFAP3,CCDC88A,CCT5,CEP152,CLUAP1,CENPJ,SPAST,NEDD1,ABRAXAS2,AURKA,AURKC,NSFL1C,HYLS1,C4orf47,MTUS2,RPGRIP1L,TCP1,TRAF5,CEP57L1,CEP85,DCLRE1B,XRCC2,RAD18,MDM1,KIF15,ACTL8,AAAS,IFT88,SASS6,CCDC120
GO: Cellular Component	GO:0005819	spindle	 	2.829E-13	3.619E-10	3.016E-11	2.332E-10	104	359	KIF18A,MAD1L1,CUL3,RAE1,SLC25A5,BIRC5,RAB11A,BNIP2,CEP95,BUB1B,PRC1,CCNB1,SMC3,CDK1,CDC20,DNAAF1,AURKB,CENPE,CENPF,CETN1,BOD1,KPNA7,CLTA,KIF23,POC1A,KIF20B,ESPL1,KNTC1,DLGAP5,FAM110A,DCTN1,FBXO5,KIF14,ECT2,KIF20A,RMDN1,DYNC1LI1,CKAP2,NUSAP1,ERCC2,KATNB1,KATNAL1,TACC3,DCDC2,SPAG5,RTRAF,RAB11FIP4,TUBGCP4,PRPF19,KATNA1,CEP89,CKAP2L,HAUS8,INCENP,KDF1,KIF11,RMDN2,MAD2L1,MAK,SGO1,RACGAP1,MYH10,ODF2,AUNIP,ASPM,PKHD1,GPSM2,PLK1,POLB,NDE1,SPDL1,PINX1,PPP2R3C,WDR62,HAUS2,CDCA8,TBL1XR1,RMDN3,RIF1,BORA,NUP85,DSN1,HAUS7,KIFAP3,TPX2,SPAST,NEDD1,RCC2,ABRAXAS2,AURKA,AURKC,NSFL1C,TADA2A,DYNLT1,SKA1,TTK,VRK1,CEP85,KIF4A,KIF15,FAM83D,SHCBP1L,AAAS,SKA3
GO: Cellular Component	GO:0005815	microtubule organizing center	 	6.595E-13	8.435E-10	6.488E-11	5.016E-10	180	756	MKKS,KIF18A,CDC45,STARD9,MAD1L1,KIF17,TSGA10IP,SLAIN2,LEO1,OFD1,CCDC146,CAMSAP3,BIRC5,CAPRIN2,SSNA1,RAB11A,ADGRB2,BBS4,BNIP2,BRCA1,BRCA2,CEP95,BUB1B,CCNB1,CCNF,USP2,CCNB2,CDK1,CDC20,AURKB,CENPF,CETN1,CHEK1,SNAP29,BOD1,KIF23,POC1A,CIR1,KIF20B,ESPL1,CEP57,KIAA0586,DLGAP5,FAM110A,DBH,DCTN1,AK5,E2F1,EYS,DYNC1LI1,TXNDC9,CKAP2,BCAS2,TBC1D7,KATNB1,KATNAL1,SPTBN5,HOOK1,CEP78,NDC80,ATP6V1D,TACC3,DCDC2,SLF1,DTL,CCDC77,SPAG5,FANK1,DYNC2LI1,DCTN6,RTRAF,RAB3IP,SSX2IP,CCT8,HSPB11,RAB11FIP4,DISC1,SDCCAG8,FTCD,SAXO1,TUBGCP4,KIF2C,NUDT21,KATNA1,CEP89,CKAP2L,ZFYVE19,AKAP11,HMMR,KIF24,HAUS8,POC5,CCNB3,KIFC3,KIF25,MAK,MCM3,SGO1,CCDC113,GEN1,CCDC13,NEK1,ODF2,PCM1,PCNA,AUNIP,SNX10,ASPM,PKHD1,GPSM2,PLK1,CCHCR1,PPP4C,PRKAR2A,PRKCQ,MAP2K1,PSEN1,NDE1,SPDL1,CEP120,PPP2R3C,WDR62,RAD51,RAN,MCPH1,IFT57,DNAAF4,CENPU,DPF2,HAUS2,CEP55,CCDC88C,CLIP1,CCDC15,BBOF1,HAUS7,VPS37A,DZIP1,STIL,SKP1,CCDC141,ZNF365,KIFAP3,CCDC88A,CCT5,TPX2,CEP152,DAAM1,SPATA7,CLUAP1,CENPJ,SPAST,NEDD1,ABRAXAS2,AURKA,AURKC,NSFL1C,HYLS1,C4orf47,MTUS2,RPGRIP1L,TCP1,GSDMC,TRAF5,CEP57L1,TSG101,EZR,CEP85,DCLRE1B,XRCC2,YES1,RAD18,DCDC2C,MDM1,KIF15,ACTL8,AAAS,IFT88,SASS6,CCDC120
GO: Cellular Component	GO:0005875	microtubule associated complex	 	1.115E-11	1.426E-8	1.019E-9	7.878E-9	84	282	MKKS,KIF18A,STARD9,KIF17,CUL3,KIF6,BIRC5,SHTN1,DNAH17,CCDC181,CATSPERG,DNAH11,SNX4,KIF1A,MAP7,AURKB,CENPE,SLC9A3R1,KIF23,KIF20B,DNAL1,DCTN1,CABYR,KIF19,KIF14,DNAH8,KIF20A,DYNC1LI1,KATNB1,SPTBN5,DCDC2,DYNC2LI1,DCTN6,MROH2B,DISC1,DRC1,SAXO1,SLC9B1,KIF2C,GSTM3,CATSPERD,AKAP14,KIF24,HAUS8,HSP90AA1,BORCS5,KIFC3,KIF11,KIF25,CCDC39,SPA17,RNF38,ODF2,CFAP251,NDE1,CCDC172,SPAG16,RAN,DYNC2H1,KIF26B,HAUS2,CDCA8,CFAP94,MNS1,SCNN1A,HAUS7,KIFAP3,STAU1,AURKA,AURKC,KIF13B,TCP11,DYNLT1,TEKT5,DNAH7,TIAM1,YWHAE,SLC26A6,DCDC2C,KIF4A,KIF15,ACTL8,DNAH10,IFT88
GO: Cellular Component	GO:0000795	synaptonemal complex	 	1.375E-11	1.759E-8	1.099E-9	8.499E-9	26	45	FKBP6,CCNB1IP1,SYCP2L,BRCA1,BRCA2,SMC3,SYCP3,RNF212B,MEI4,SYCP2,STAG3,SMC1B,HORMAD2,SYCE1,INCENP,RAD21L1,SYCE3,PLK1,POLB,RAD51,C14orf39,WAPL,RNF212,TEX12,FAM9B,FAM9C
GO: Cellular Component	GO:0099086	synaptonemal structure	 	1.375E-11	1.759E-8	1.099E-9	8.499E-9	26	45	FKBP6,CCNB1IP1,SYCP2L,BRCA1,BRCA2,SMC3,SYCP3,RNF212B,MEI4,SYCP2,STAG3,SMC1B,HORMAD2,SYCE1,INCENP,RAD21L1,SYCE3,PLK1,POLB,RAD51,C14orf39,WAPL,RNF212,TEX12,FAM9B,FAM9C
GO: Cellular Component	GO:0000922	spindle pole	 	2.953E-10	3.777E-7	2.222E-8	1.718E-7	56	168	MAD1L1,CUL3,RAE1,RAB11A,BNIP2,CEP95,PRC1,CCNB1,SMC3,CDC20,DNAAF1,AURKB,CENPF,CETN1,BOD1,POC1A,KIF20B,KNTC1,DLGAP5,FAM110A,DCTN1,RMDN1,DYNC1LI1,CKAP2,KATNB1,KATNAL1,TACC3,SPAG5,TUBGCP4,KATNA1,CEP89,CKAP2L,HAUS8,KIF11,RMDN2,MAD2L1,SGO1,ODF2,AUNIP,ASPM,GPSM2,PLK1,NDE1,SPDL1,WDR62,RMDN3,DSN1,TPX2,NEDD1,ABRAXAS2,AURKA,AURKC,NSFL1C,CEP85,FAM83D,AAAS
GO: Cellular Component	GO:0000780	condensed nuclear chromosome, centromeric region	 	3.758E-10	4.807E-7	2.670E-8	2.065E-7	19	29	SYCP2L,BUB1,BUB1B,CCNB1,AURKB,CENPA,CENPE,SYCP3,NUF2,NDC80,SGO2,SGO1,PLK1,CENPO,DSN1,CENPK,AURKA,AURKC,MEIKIN
GO: Cellular Component	GO:0043186	P granule	 	1.236E-8	1.581E-5	7.530E-7	5.822E-6	15	22	TDRD6,PIWIL1,TDRKH,MAEL,MOV10L1,DDX4,ASZ1,PIWIL2,EXD1,TDRD1,TDRD7,CARHSP1,HENMT1,TDRD9,TDRD5
